Book Id,Title,Author,Author l-f,Additional Authors,type,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Pages,Year Published,Original Publication Year,Date Read,Date Added,days,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
126061,The Double Helix,James D. Watson,"Watson, James D.",,non-fiction,451037707,9.78045E+12,0,3.87,Signet Books,Paperback,143,1969,1968,12/30/14,12/28/14,2.00,currently-reading,currently-reading (#22),currently-reading,,,,,,,0,,,,,
215686,Aurí©lia and Other Writings,Gí©rard de Nerval,"Nerval, Gí©rard de","Gent Sturgeon, Geoffrey Wagner, Robert Duncan, Marc Lowenthal",fiction,187897209X,9.78188E+12,0,4.06,Exact Change,Paperback,240,2004,1996,12/31/14,12/26/14,5.00,currently-reading,currently-reading (#21),currently-reading,,,,,,,0,,,,,
112031,Addicted to Danger A Memoir,Jim Wickwire,"Wickwire, Jim",Dorothy Bullitt,non-fiction,671019910,9.78067E+12,5,3.69,Pocket Books,Paperback,322,2010,1998,12/26/14,12/26/14,0.00,,,read,,,,,,,0,,,,,
7147831,"Min kamp 1 (Min kamp, #1)",Karl Ove Knausgí«rd,"Knausgí«rd, Karl Ove",,fiction,,9.78825E+12,3,4.1,Forlaget okober,Hardcover,435,2009,2009,12/24/14,12/19/14,5.00,,,read,,,,,,,0,,,,,
44882,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,"Petzold, Charles",,non-fiction,735611319,9.78074E+12,0,4.35,Microsoft Press,Paperback,400,2000,1999,1/5/15,11/26/14,40.00,currently-reading,currently-reading (#20),currently-reading,,,,,,,0,,,,,
405790,Beautiful Code: Leading Programmers Explain How They Think,Andy Oram,"Oram, Andy","Greg Wilson, Jon L. Bentley, Brian W. Kernighan, Charles Petzold, Douglas Crockford, Henry S. Warren Jr., Ashish Gulhati, Lincoln Stein, Jim Kent, Jack Dongarra, Poitr Luszczek, Adam Kolawa, Greg Kroah-Hartman, Diomidis Spinellis, Andrew Kuchling, Travis E. Oliphant, Ronald Mak, Rogerio Atem de Carvalho, Rafael Monnerat, Bryan Cantrill, Jeffrey Dean, Sanjay Ghemawat, Simon Peyton Jones, R. Kent Dybuig, William R. Otte, Douglas C. Schmidt, Andrew Patzer, Karl Fogel, Tim Bray, Eliotte Rusty Harold, Michael C. Feathers, Alberto Savoia",non-fiction,596510047,9.7806E+12,0,3.61,O'Reilly Media,Paperback,563,2007,2012,1/20/15,11/23/14,58.00,currently-reading,currently-reading (#19),currently-reading,,,,,,,0,,,,,
17287021,The Simpsons and Their Mathematical Secrets,Simon Singh,"Singh, Simon",,non-fiction,1620402777,9.78162E+12,5,3.82,Bloomsbury USA,Hardcover,253,2013,2013,11/22/14,11/16/14,6.00,,,read,,,,,,,0,,,,,
20613480,"Geek Sublime: The Beauty of Code, the Code of Beauty",Vikram Chandra,"Chandra, Vikram",,fiction,1555976859,9.78156E+12,4,3.36,Graywolf Press,Paperback,272,2014,2014,10/30/14,10/24/14,6.00,,,read,,,,,,,0,,,,,
832917,How the Body Shapes the Way We Think: A New View of Intelligence,Rolf Pfeifer,"Pfeifer, Rolf",,non-fiction,262162393,9.78026E+12,5,3.97,MIT Press (MA),Hardcover,394,2006,2006,11/16/14,10/4/14,43.00,,,read,,,,,,,0,,,,,
18281738,The Biology of Luck,Jacob M. Appel,"Appel, Jacob M.",,fiction,975374680,9.78098E+12,5,3.45,"Elephant Rock Productions, Inc.",Paperback,234,2013,2013,10/4/14,9/30/14,4.00,,,read,,,,,,,0,,,,,
