Sec,Hours,Date,Date_1
30595,8,02-09-2014,2/9/14
102488,28,02-16-2014,2/16/14
19636,5,03-02-2014,3/2/14
101653,28,03-09-2014,3/9/14
110730,31,03-16-2014,3/16/14
114151,32,03-23-2014,3/23/14
117526,33,03-30-2014,3/30/14
133040,37,04-06-2014,4/6/14
26268,7,04-13-2014,4/13/14
45108,13,04-20-2014,4/20/14
149092,41,04-27-2014,4/27/14
125260,35,05-04-2014,5/4/14
110002,31,05-11-2014,5/11/14
118297,33,05-18-2014,5/18/14
130435,36,05-25-2014,5/25/14
140710,39,06-01-2014,6/1/14
110926,31,06-08-2014,6/8/14
104123,29,06-15-2014,6/15/14
67262,19,06-22-2014,6/22/14
46727,13,06-29-2014,6/29/14
65284,18,07-06-2014,7/6/14
111858,31,07-13-2014,7/13/14
102203,28,07-20-2014,7/20/14
79297,22,07-27-2014,7/27/14
70743,20,08-03-2014,8/3/14
28906,8,08-17-2014,8/17/14
103166,29,08-24-2014,8/24/14
80635,22,08-31-2014,8/31/14
130092,36,09-07-2014,9/7/14
141613,39,09-14-2014,9/14/14
135990,38,09-21-2014,9/21/14
102879,29,09-28-2014,9/28/14
134304,37,10-05-2014,10/5/14
99157,28,10-12-2014,10/12/14
135107,38,10-19-2014,10/19/14
117979,33,10-26-2014,10/26/14
151396,42,11-02-2014,11/2/14
85398,24,11-09-2014,11/9/14
191822,53,11-16-2014,11/16/14
141928,39,11-23-2014,11/23/14
146120,41,11-30-2014,11/30/14
161672,45,12-07-2014,12/7/14
120295,33,12-14-2014,12/14/14
45968,13,12-21-2014,12/21/14
7785,2,12-28-2014,12/28/14
